id,i01,i02,i03,i04,i05,i06,i07,i08,i09,i10,i11,i12,i13,i14,i15,i16,i17,i18,i19,i20
D001,1,1,1,1,1,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0
D002,0,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0
D003,1,1,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
D004,1,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0
D005,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,1,1,1,0,1
D006,0,1,1,1,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0
D007,1,1,1,1,1,1,0,1,1,0,1,1,0,1,0,0,1,0,0,0
D008,0,0,1,1,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,1
D009,1,1,1,1,1,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0
D010,0,1,1,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0
D011,1,1,1,0,1,1,0,1,0,1,1,1,0,1,0,0,1,0,0,0
D012,1,1,0,1,1,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0
D013,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0
D014,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
D015,1,1,1,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0
D016,1,1,1,1,1,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0
D017,1,1,0,0,1,1,0,1,1,0,0,1,0,1,0,0,1,0,0,0
D018,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,0,1,0
D019,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1
D020,1,1,1,1,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0
D021,1,1,1,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0
D022,1,1,1,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0
D023,1,1,0,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0
