student,section,pre,post,se1,se2,se3,se4,se5,se6,exercise,fixed,minutes
S01,sprint,10,11,5,3,4,3,3,3,E01,1,4.4
S01,sprint,10,11,5,3,4,3,3,3,E02,1,3.3
S01,sprint,10,11,5,3,4,3,3,3,E03,1,5.9
S01,sprint,10,11,5,3,4,3,3,3,E04,1,4.6
S01,sprint,10,11,5,3,4,3,3,3,E05,1,4.2
S01,sprint,10,11,5,3,4,3,3,3,E06,1,5.2
S01,sprint,10,11,5,3,4,3,3,3,E07,1,7.3
S01,sprint,10,11,5,3,4,3,3,3,E08,0,11.7
S01,sprint,10,11,5,3,4,3,3,3,E09,1,7.5
S01,sprint,10,11,5,3,4,3,3,3,E10,1,7.8
S01,sprint,10,11,5,3,4,3,3,3,E11,0,30.0
S01,sprint,10,11,5,3,4,3,3,3,E12,1,5.8
S02,sprint,6,11,2,3,5,3,4,1,E01,0,10.8
S02,sprint,6,11,2,3,5,3,4,1,E02,1,8.1
S02,sprint,6,11,2,3,5,3,4,1,E03,0,10.6
S02,sprint,6,11,2,3,5,3,4,1,E04,1,8.0
S02,sprint,6,11,2,3,5,3,4,1,E05,1,5.0
S02,sprint,6,11,2,3,5,3,4,1,E06,0,13.1
S02,sprint,6,11,2,3,5,3,4,1,E07,0,14.5
S02,sprint,6,11,2,3,5,3,4,1,E08,1,7.4
S02,sprint,6,11,2,3,5,3,4,1,E09,0,28.4
S02,sprint,6,11,2,3,5,3,4,1,E10,0,21.1
S02,sprint,6,11,2,3,5,3,4,1,E11,1,9.7
S02,sprint,6,11,2,3,5,3,4,1,E12,0,17.0
S03,sprint,8,11,3,2,3,3,3,4,E01,1,2.0
S03,sprint,8,11,3,2,3,3,3,4,E02,1,5.2
S03,sprint,8,11,3,2,3,3,3,4,E03,1,3.0
S03,sprint,8,11,3,2,3,3,3,4,E04,1,4.5
S03,sprint,8,11,3,2,3,3,3,4,E05,1,7.9
S03,sprint,8,11,3,2,3,3,3,4,E06,1,4.1
S03,sprint,8,11,3,2,3,3,3,4,E07,1,2.3
S03,sprint,8,11,3,2,3,3,3,4,E08,1,8.3
S03,sprint,8,11,3,2,3,3,3,4,E09,1,6.5
S03,sprint,8,11,3,2,3,3,3,4,E10,1,8.9
S03,sprint,8,11,3,2,3,3,3,4,E11,0,13.2
S03,sprint,8,11,3,2,3,3,3,4,E12,0,14.0
S04,sprint,14,15,3,3,4,5,4,5,E01,1,2.6
S04,sprint,14,15,3,3,4,5,4,5,E02,1,2.7
S04,sprint,14,15,3,3,4,5,4,5,E03,1,0.9
S04,sprint,14,15,3,3,4,5,4,5,E04,1,2.2
S04,sprint,14,15,3,3,4,5,4,5,E05,1,2.2
S04,sprint,14,15,3,3,4,5,4,5,E06,1,2.8
S04,sprint,14,15,3,3,4,5,4,5,E07,1,1.4
S04,sprint,14,15,3,3,4,5,4,5,E08,1,2.2
S04,sprint,14,15,3,3,4,5,4,5,E09,1,10.0
S04,sprint,14,15,3,3,4,5,4,5,E10,1,3.5
S04,sprint,14,15,3,3,4,5,4,5,E11,1,3.8
S05,sprint,10,12,2,3,2,3,4,2,E01,1,3.6
S05,sprint,10,12,2,3,2,3,4,2,E02,0,11.3
S05,sprint,10,12,2,3,2,3,4,2,E03,1,5.8
S05,sprint,10,12,2,3,2,3,4,2,E04,1,3.5
S05,sprint,10,12,2,3,2,3,4,2,E05,1,6.8
S05,sprint,10,12,2,3,2,3,4,2,E06,1,4.2
S05,sprint,10,12,2,3,2,3,4,2,E07,1,6.7
S05,sprint,10,12,2,3,2,3,4,2,E08,0,30.0
S05,sprint,10,12,2,3,2,3,4,2,E09,1,9.8
S05,sprint,10,12,2,3,2,3,4,2,E10,1,6.9
S05,sprint,10,12,2,3,2,3,4,2,E11,0,19.9
